
1,1,40,14,2147483647,-1,false,,1,NEUTRAL,,1,90
2,2,70,26,2147483647,-1,false,,2,NEUTRAL,,2,90
3,3,130,50,2147483647,-1,false,,3,NEUTRAL,,3,60
6,6,220,86,2147483647,-1,false,,6,UP,,6,60
7,7,250,98,2147483647,-1,false,,7,LEFT,,7,40
8,8,280,110,72,104,false,,8,UP,,8,40
9,9,290,122,60,88,false,,9,RIGHT,,9,60
10,10,320,134,48,88,false,,10,UP,,10,30
11,11,350,146,60,88,false,,11,LEFT,,11,0
12,12,350,170,2147483647,84,false,,12,UP,,12,0
14,14,350,206,2147483647,36,false,,14,UP,,14,80
15,15,360,218,2147483647,44,false,,15,RIGHT,,15,100
19,19,620,322,16,76,true,,19,RIGHT,,19,0
21,21,620,386,16,68,true,,21,DOWN,,21,70
22,22,660,402,32,60,true,,22,UP,,22,90
23,23,690,414,72,77,true,,23,UP,,23,60
24,24,750,438,48,78,true,,24,LEFT,,24,0
25,25,750,474,2147483647,48,false,,25,RIGHT,,25,0
27,27,750,510,44,60,false,,27,LEFT,,27,0
28,28,750,522,32,60,false,,28,LEFT,,28,0
29,29,750,538,16,40,false,,29,DOWN,,29,0
30,30,750,590,28,32,false,,30,RIGHT,,30,0
31,31,750,602,16,48,false,,31,RIGHT,,31,0
32,32,750,654,28,64,false,,32,RIGHT,,32,0
33,33,750,666,16,64,false,,33,RIGHT,,33,0
34,34,750,718,28,89,false,,34,UP,,34,0
35,35,750,746,56,67,false,,35,DOWN,,35,0
36,36,750,758,2147483647,65,false,,36,DOWN,,36,0
37,37,750,770,2147483647,67,false,,37,DOWN,,37,0
38,38,750,794,2147483647,67,false,,38,DOWN,,38,60
39,39,750,818,2147483647,39,false,,39,LEFT,,39,90
40,40,810,842,36,39,false,,40,DOWN,,40,60
41,41,840,854,24,40,false,,41,LEFT,,41,50
42,42,870,866,2147483647,32,false,,42,RIGHT,,42,20
43,43,890,878,2147483647,29,false,,43,UP,,43,0
44,44,890,890,2147483647,29,false,,44,RIGHT,,44,20
45,45,890,914,36,67,false,,45,LEFT,,45,20
46,46,910,926,48,71,false,,46,UP,,46,0
47,47,910,950,2147483647,39,false,,47,LEFT,,47,0
48,48,910,974,2147483647,39,false,,48,LEFT,,48,0
